#date	dose_E(mGy/day)	dose_B(mGy/day)
2022-02-12 15:25:41.917719  	2.71E-001	2.66E-001
2022-02-12 15:42:47.927403	2.75E-001	2.86E-001
2022-02-12 15:59:53.937086	2.79E-001	2.74E-001
2022-02-12 16:16:59.946770	2.70E-001	2.75E-001
2022-02-12 16:34:05.956453	2.74E-001	2.77E-001
2022-02-12 16:51:11.966136	2.71E-001	2.61E-001
2022-02-12 17:08:17.975820	2.71E-001	2.86E-001
2022-02-12 17:24:52.985211	2.73E-001	2.61E-001
2022-02-12 17:42:02.994932	2.72E-001	2.56E-001
2022-02-12 17:59:08.004606	2.74E-001	2.49E-001
2022-02-12 18:16:14.014289	2.73E-001	2.60E-001
2022-02-12 18:33:20.023972	2.74E-001	2.56E-001
2022-02-12 18:50:26.033656	2.70E-001	2.52E-001
2022-02-12 19:07:32.043339	2.74E-001	2.46E-001
2022-02-12 19:24:38.053023	2.72E-001	2.57E-001
2022-02-12 19:41:44.062706	2.70E-001	2.64E-001
2022-02-12 19:58:50.072389	2.67E-001	2.64E-001
2022-02-12 20:15:56.082073	2.70E-001	2.61E-001
2022-02-12 20:33:02.091756	2.68E-001	2.56E-001
2022-02-12 20:49:59.101355	2.70E-001	2.58E-001
2022-02-12 21:07:06.111047	2.72E-001	2.54E-001
2022-02-12 21:16:09.116172	2.77E-001	2.62E-001
2022-02-12 21:33:14.125846	2.74E-001	2.55E-001
2022-02-12 21:50:19.135520	2.75E-001	2.62E-001
2022-02-12 22:07:25.145204	2.73E-001	2.62E-001
2022-02-12 22:24:31.154887	2.71E-001	2.72E-001
2022-02-12 22:41:37.164570	2.69E-001	2.58E-001
2022-02-12 22:58:43.174254	2.68E-001	2.56E-001
2022-02-12 23:15:49.183937	2.71E-001	2.70E-001
2022-02-12 23:32:55.193621	2.72E-001	2.75E-001
2022-02-12 23:50:01.203304	2.72E-001	2.53E-001
2022-02-13 00:07:07.212987	2.77E-001	2.56E-001
2022-02-13 00:24:13.222671	2.73E-001	2.56E-001
2022-02-13 00:41:19.232354	2.81E-001	2.77E-001
2022-02-13 00:58:15.241943	2.74E-001	2.70E-001
2022-02-13 01:15:20.251617	2.73E-001	2.81E-001
2022-02-13 01:32:24.261282	2.79E-001	2.83E-001
2022-02-13 01:49:29.270956	2.80E-001	2.61E-001
2022-02-13 02:06:34.280629	2.84E-001	2.76E-001
2022-02-13 02:23:38.290294	2.76E-001	2.94E-001
2022-02-13 02:40:43.299968	2.78E-001	2.57E-001
2022-02-13 02:57:48.309642	2.76E-001	2.87E-001
2022-02-13 03:14:52.319306	2.88E-001	2.67E-001
2022-02-13 03:31:56.328971	2.77E-001	2.68E-001
2022-02-13 03:49:02.338654	2.79E-001	2.78E-001
2022-02-13 04:06:08.348338	2.84E-001	2.67E-001
2022-02-13 04:23:14.358021	2.80E-001	2.69E-001
2022-02-13 04:40:20.367704	2.80E-001	2.62E-001
2022-02-13 04:57:26.377388	2.77E-001	2.53E-001
2022-02-13 05:14:32.387071	2.82E-001	2.58E-001
2022-02-13 05:31:38.396755	2.79E-001	2.59E-001
2022-02-13 05:48:44.406438	2.78E-001	2.63E-001
2022-02-13 06:05:50.416121	2.80E-001	2.81E-001
2022-02-13 06:22:56.425805	2.82E-001	2.64E-001
2022-02-13 06:39:45.435328	2.91E-001	2.72E-001
2022-02-13 06:56:50.445002	2.81E-001	2.89E-001
2022-02-13 07:13:53.454657	2.77E-001	2.75E-001
2022-02-13 07:30:58.464331	2.77E-001	2.61E-001
2022-02-13 07:48:02.473995	2.82E-001	3.05E-001
2022-02-13 08:05:08.483679	2.85E-001	3.22E-001
2022-02-13 08:22:14.493362	2.85E-001	2.75E-001
2022-02-13 08:39:20.503045	2.86E-001	2.65E-001
2022-02-13 08:56:22.512691	2.78E-001	2.53E-001
2022-02-13 09:16:20.523998	2.82E-001	2.78E-001
2022-02-13 09:33:25.533672	2.82E-001	2.88E-001
2022-02-13 09:50:30.543346	2.79E-001	2.69E-001
2022-02-13 10:07:34.553010	2.79E-001	2.64E-001
2022-02-13 10:24:40.562694	2.84E-001	2.85E-001
2022-02-13 10:41:46.572377	2.77E-001	2.79E-001
2022-02-13 10:58:49.582032	2.83E-001	2.77E-001
2022-02-13 11:15:54.591706	2.79E-001	2.61E-001
2022-02-13 11:33:00.601389	2.75E-001	2.72E-001
2022-02-13 11:50:06.611073	2.79E-001	2.76E-001
2022-02-13 12:07:09.620728	2.76E-001	2.59E-001
2022-02-13 12:24:15.630411	2.81E-001	2.71E-001
2022-02-13 12:41:21.640095	2.76E-001	2.57E-001
2022-02-13 12:58:24.649750	2.84E-001	2.62E-001
