second,pFlux_2.00MeV--2.60MeV,pFlux_2.60MeV--3.30MeV,pFlux_3.30MeV--4.20MeV,pFlux_4.20MeV--5.30MeV,pFlux_5.30MeV--6.80MeV,pFlux_6.80MeV--8.70MeV,pFlux_8.70MeV--11.10MeV,pFlux_11.10MeV--14.10MeV,pFlux_14.10MeV--18.10MeV,pFlux_18.10MeV--23.10MeV,pFlux_23.10MeV--29.40MeV,pFlux_29.40MeV--37.60MeV,pFlux_37.60MeV--48.00MeV,pFlux_48.00MeV--61.30MeV,pFlux_61.30MeV--78.30MeV,pFlux_78.30MeV--100.00MeV,aFlux_4.00MeV--5.33MeVaFlux_5.33MeV--7.11MeVaFlux_7.11MeV--9.48MeVaFlux_9.48MeV--12.65MeVaFlux_12.65MeV--16.87MeVaFlux_16.87MeV--22.49MeVaFlux_22.49MeV--29.99MeVaFlux_29.99MeV--40.00MeVaFlux_40.00MeV--53.34MeVaFlux_53.34MeV--71.13MeVaFlux_71.13MeV--94.85MeVaFlux_94.85MeV--126.49MeVaFlux_126.49MeV--168.68MeVaFlux_168.68MeV--224.94MeVaFlux_224.94MeV--299.96MeVaFlux_299.96MeV--400.00MeV,,,,,,,,,,,,,,,
193350600,0,0,0,0,0,0.02257,0.02141,0,0.01905,0.00556,0,0.00403,0.00727,0.00298,0.00072,0.0016,0,0,0,0,0,0,0,0.00431,0,0,0,0,0,0,0,0
193351800,0,0,0,0,0,0,0,0,0,0,0.00949,0.01239,0.00331,0.00407,0.00221,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193353000,0,0,0,0,0,0,0,0.01487,0,0.0056,0.00934,0.00812,0.00326,0.00333,0.00145,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0.00011,0.00009,0
193354200,0.07403,0,0,0,0,0,0.02147,0.0148,0,0.00557,0.00619,0.01011,0.00567,0.00232,0.00234,0.00173,0,0,0,0,0,0,0,0,0.00321,0,0,0,0.00038,0,0,0
193355400,0,0,0,0,0,0,0,0.01466,0.00947,0,0.00307,0.01202,0.01205,0.00197,0.00232,0.00135,0,0,0,0,0,0,0,0,0,0,0.00144,0,0,0,0.00009,0
193356600,0.07258,0,0,0,0,0,0,0,0.00937,0,0.00911,0.00793,0.01033,0.00195,0.00141,0.0017,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0.00011,0,0
193357800,0,0,0,0,0,0.0221,0,0,0,0,0.00907,0.00592,0.00791,0.00389,0.00123,0.00169,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0.00004,0.00006
193359000,0,0,0,0,0,0,0,0,0.0426,0.01242,0.02071,0.00451,0.00903,0.00555,0.0018,0.00193,0,0,0,0,0,0,0,0,0.00358,0,0,0,0.00043,0.00025,0,0.00003
193360200,0,0,0,0,0.07758,0,0,0.06736,0.06523,0.05073,0.02114,0.0414,0.02213,0.01434,0.00737,0.00478,0,0,0,0,0,0,0,0,0,0,0,0.00166,0,0,0.0001,0.00007
193361400,0,0,0,0,0,0,0.19519,0.13452,0.21713,0.07598,0.12667,0.12862,0.15103,0.07688,0.05233,0.04384,0,0,0,0,0,0,0,0.01967,0,0,0,0,0.00347,0,0,0
193362600,0,0.46852,0,0,0,0.81074,0.4614,1.05996,1.02652,0.71845,0.57671,0.68048,0.4644,0.27082,0.14045,0.12666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0
193363800,0,0,0,0,0,1.27921,2.02225,1.11495,2.51949,1.83682,1.42908,1.48487,0.66405,0.34984,0.17451,0.11297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193365000,0.81103,0,0,0,0,0.99186,1.64639,3.40398,2.721,1.70906,1.3229,1.10704,0.79895,0.49044,0.23449,0.11513,0,0,0,0,0,0,0,0,0,0,0,0.00798,0,0,0.00049,0.00032
193366200,1.12805,0,0,1.31322,0,4.1387,7.19697,7.66545,6.98695,3.31097,2.92513,3.01795,1.58045,0.6973,0.3837,0.211,0,0,0,0,0,0,0.58635,0,0,0,0,0.02221,0,0,0,0
193367400,0,2.20394,0,1.45216,0.57426,5.72071,9.76713,10.72021,10.14059,6.00823,4.74756,3.71183,1.97977,0.894,0.4243,0.23333,0,0,0,0,0,0,0,0.0729,0,0,0,0.03684,0.01286,0.00376,0,0
193368600,1.37385,1.21368,0.90922,0,1.26494,11.76112,17.53025,18.67135,14.89135,8.37497,5.57356,4.76319,2,1.14463,0.50069,0.29598,0,0,0,0,0,0,0,0,0,0,0.027,0,0.00708,0,0.00082,0
193369800,0,0,0.86592,0,0,6.40056,16.69536,13.85959,10.29893,6.0067,6.07424,4.25059,2.07661,1.02565,0.48638,0.29063,0,0,0,0,0,0,0,0,0,0,0,0.03864,0,0,0.00078,0.00051
193371000,0,1.46514,2.19521,0.96537,0,13.18383,20.20051,25.19173,20.97289,9.86059,6.03473,5.88593,2.65039,1.15149,0.63666,0.31853,0,0,0,0,0,0,0,0,0.07189,0,0.03259,0.01633,0,0,0.00298,0
193372200,3.56314,0,1.17905,4.14803,0.82017,16.88564,28.93269,29.55359,28.04658,12.20127,9.31401,8.4627,3.60758,1.54817,0.73585,0.44036,0,0,0,0,0,0,0,0,0.07722,0.08932,0.03501,0.01754,0,0,0.00213,0.00069
193373400,3.59401,1.5875,0,4.18396,0,15.38366,31.78896,28.37298,27.59387,12.84792,10.37173,9.27186,3.54048,1.41669,0.69856,0.33913,0,0,0,0,0,0,0,0,0,0.09009,0.03531,0,0.01853,0,0,0.0007
193374600,0,1.19739,1.79404,3.1558,0.62398,19.89138,24.76334,20.58797,21.1628,11.52683,8.73002,5.36532,3.04135,1.1657,0.50385,0.30107,0,0,0,0,0,0,0,0,0.05875,0,0,0,0,0.00204,0.00081,0
193375800,1.78394,1.57595,1.18062,2.07677,2.46377,23.99851,32.59246,33.51473,25.09125,13.96281,13.05691,8.71743,3.86621,1.5662,0.81051,0.43201,0,0,0,0,0,0,0,0,0.07732,0,0.03505,0.01756,0.0092,0,0.00107,0
193377000,0,0,0,5.67921,0.89834,26.84753,33.38788,39.00032,32.98582,15.27331,10.69138,8.41691,3.6951,1.61705,0.76805,0.37478,0,0,0,0,0,0,0,0,0.08458,0.09783,0,0.05763,0.01006,0.00294,0,0.00152
193378200,4.48201,1.97974,0,5.21773,9.28509,33.57312,46.14227,42.10172,29.20661,15.34776,13.6842,10.21682,3.92468,1.64627,0.75682,0.33684,0,0,0,0,0,0,1.16485,0,0,0,0.04403,0.04413,0,0.00338,0,0
193379400,4.23366,3.74008,7.00466,13.55368,7.79609,31.06562,40.5161,49.49951,27.58826,15.13457,10.53553,8.66829,3.38283,1.33696,0.65317,0.27929,0,0,0,0,0,0,0,0,0.09175,0,0,0.02084,0,0.00319,0.00127,0
193380600,4.19416,16.67331,13.87859,18.30983,8.68876,44.24012,55.94998,44.00812,31.11925,19.09679,9.73556,7.84317,2.77742,1.43721,0.59103,0.21364,0,0,0,0,0,0,0,0.12256,0.18179,0,0,0.04129,0.02162,0.00633,0.00125,0.00082
193381800,2.01461,5.3392,3.99983,14.0718,6.49215,32.64513,43.81762,42.68003,33.01493,18.95224,13.31283,8.13969,3.7928,1.45288,0.65589,0.31964,0,0,0,0,0,0,1.04717,0.11774,0.08732,0.101,0.03959,0.03967,0,0.00304,0.00121,0.00078
193383000,6.6569,7.84107,5.8741,19.37405,7.15071,42.7409,46.97545,46.12249,33.78697,16.69979,11.50789,10.23749,4.42042,1.62014,0.71703,0.37059,0,0,0,0,0,0,1.15339,0,0,0,0.0436,0,0.01144,0,0.00531,0.00173
193384200,15.11728,22.25804,33.349,42.53033,26.67783,57.00416,66.49073,55.89514,45.19119,21.61661,12.96136,10.86765,3.80577,1.56874,0.86313,0.33242,0,0,0,0,0.50714,0.39277,1.30963,0.14724,0,0,0.14852,0.0248,0,0,0.00151,0
193385400,35.93219,27.51062,38.04821,41.83041,25.36417,52.73239,76.41569,51.70648,38.6384,21.81414,12.42331,10.59409,4.03789,1.82413,0.83809,0.34006,0,0,0,0,0,0,0,0,0.20766,0,0.09414,0.02358,0.01235,0.00361,0,0
193386600,18.65074,26.77405,24.68633,32.56835,19.31875,52.03331,62.20014,53.11776,34.29475,22.80919,13.06574,8.78297,4.1084,1.42023,0.69104,0.35042,0,0,1.19001,0,0,0.36343,0,0,0,0.11688,0.04581,0.0459,0.01202,0.00352,0.00139,0
193387800,17.75697,15.68677,16.15854,25.83969,15.32747,46.14666,48.2767,51.90313,32.65129,21.71614,11.97545,9.99813,3.91152,1.69021,0.70646,0.36699,0,0,0,0,0,0,1.15373,0.51887,0.09621,0.22256,0.08723,0,0.01144,0.0067,0.00133,0.00086
193389000,16.05081,18.23081,22.76254,33.36702,12.6672,47.67167,63.17132,54.53492,44.382,23.4692,11.22039,9.32699,4.39216,1.74607,0.65738,0.26423,0,0,0,0,0.46153,0,1.19186,0,0,0.34486,0.04506,0.02257,0,0,0.00137,0
193390200,17.33006,24.87814,28.67283,44.1323,15.95624,38.41409,64.07781,55.8507,39.13405,20.21586,13.68076,9.28466,3.74635,1.59136,0.76316,0.31837,0,0,0,0.82903,0,0,0,0.3798,0.18779,0.1086,0.04257,0.02133,0.01117,0.00654,0.0013,0.00084
193391400,37.8056,22.26535,34.74995,53.79164,29.00717,52.01411,62.12712,48.69344,41.19494,21.97146,13.0886,8.65798,3.79323,1.40179,0.64297,0.25957,0,1.44559,0,0,0.42275,0,2.18344,0.24549,0,0,0.08254,0.02068,0,0.00317,0.00251,0
